topic;indicator;chart;long_name;description;details
Fejlõdés;gdp;gdp;GDP per capita EURO;;
Fejlõdés;gdpppp;gdpppp;GDP per capita vásárlóerö paritáson;;
Növekedés;gdpgrowth;gdpgrowth;GDP éves változás;;
Növekedés;industrygrowth;industrygrowth;Ipari termelés éves változása;;
Növekedés;investment;investment;Beruházási ráta;;
Infláció;inflation;inflation;HIPC infláció;;
Munkapiac;unemployment;unemployment;Munkanélküliségi ráta szezonálisan igazított;;
Munkapiac;laborforce;laborforce;Aktivitási ráta (négy negyedéves mozgóátlag);;
Külsõ egynesúly;tradebalance;tradebalance;Árukereskedelem egyenlege (a GDP százalékában);;
Külsõ egynesúly;currentaccount;currentaccount;Folyó fizetési mérleg egyenlege (a GDP százalékában);;
Külsõ egynesúly;externaldebt;externaldebt;Nettó külsö adósság (a GDP százalékában);;
Államháztartás;budget;budget;Államháztartás egyenlege - negyedéves;;
Államháztartás;primarybudget;primarybudget;Államháztartás elsödleges egyenlege;;
Államháztartás;governmentdebt;governmentdebt;Bruttó államadósság - negyedéves;;
Pénzügyi piacok;exchangerate;exchangerate;Nominális árfolyam az euróval szemben (emelkedés = leértékelödés);;
Pénzügyi piacok;longtermyield;longtermyield;Hosszú lejáratú referencia államkötvényhozam;;
Versenyképesség;competitiveness;competitiveness;Bérköltség-alapú versenyképesség (emelkedés = versenyképesség-javulás);;
Versenyképesség;exportgrowth;exportgrowth;Export éves változása;;
Versenyképesség;laborproductivity;laborproductivity;Munkatermelékenység;;
